DiffIR version=1 fingerprint=0ee902b1528f74aecab75fd2ef96fdd07749f5a4e8e8256524da33d5ca4e761f tensors=363 operations=168
tensor id=140 dtype=bf16 roles=0 shape=512x3072 bytes=3145728
tensor id=141 dtype=bf16 roles=0 shape=512x24x128 bytes=3145728
tensor id=142 dtype=bf16 roles=0 shape=512x24x128 bytes=3145728
tensor id=143 dtype=bf16 roles=0 shape=512x24x128 bytes=3145728
tensor id=144 dtype=bf16 roles=0 shape=512x24x128 bytes=3145728
tensor id=145 dtype=bf16 roles=0 shape=512x24x128 bytes=3145728
tensor id=146 dtype=bf16 roles=0 shape=512x24x128 bytes=3145728
tensor id=147 dtype=bf16 roles=0 shape=512x3072 bytes=3145728
tensor id=148 dtype=bf16 roles=0 shape=512x3072 bytes=3145728
tensor id=149 dtype=bf16 roles=0 shape=512x3072 bytes=3145728
tensor id=150 dtype=bf16 roles=0 shape=512x16384 bytes=16777216
tensor id=151 dtype=bf16 roles=0 shape=512x8192 bytes=8388608
tensor id=152 dtype=bf16 roles=0 shape=512x3072 bytes=3145728
tensor id=153 dtype=bf16 roles=0 shape=512x3072 bytes=3145728
tensor id=154 dtype=bf16 roles=12 shape=512x3072 bytes=3145728
tensor id=155 dtype=bf16 roles=12 shape=512x3072 bytes=3145728
tensor id=156 dtype=bf16 roles=12 shape=512x3072 bytes=3145728
tensor id=157 dtype=bf16 roles=12 shape=3072x3072 bytes=18874368
tensor id=158 dtype=bf16 roles=12 shape=3072x3072 bytes=18874368
tensor id=159 dtype=bf16 roles=12 shape=3072x3072 bytes=18874368
tensor id=160 dtype=bf16 roles=12 shape=128 bytes=256
tensor id=161 dtype=bf16 roles=12 shape=128 bytes=256
tensor id=162 dtype=bf16 roles=12 shape=3072x3072 bytes=18874368
tensor id=163 dtype=bf16 roles=12 shape=512x3072 bytes=3145728
tensor id=164 dtype=bf16 roles=12 shape=512x3072 bytes=3145728
tensor id=165 dtype=bf16 roles=12 shape=512x3072 bytes=3145728
tensor id=166 dtype=bf16 roles=12 shape=16384x3072 bytes=100663296
tensor id=167 dtype=bf16 roles=12 shape=3072x8192 bytes=50331648
tensor id=168 dtype=bf16 roles=12 shape=3072 bytes=6144
tensor id=169 dtype=bf16 roles=12 shape=3072 bytes=6144
tensor id=170 dtype=bf16 roles=0 shape=512x3072 bytes=3145728
tensor id=171 dtype=bf16 roles=0 shape=512x24x128 bytes=3145728
tensor id=172 dtype=bf16 roles=0 shape=512x24x128 bytes=3145728
tensor id=173 dtype=bf16 roles=0 shape=512x24x128 bytes=3145728
tensor id=174 dtype=bf16 roles=0 shape=512x24x128 bytes=3145728
tensor id=175 dtype=bf16 roles=0 shape=512x24x128 bytes=3145728
tensor id=176 dtype=bf16 roles=0 shape=512x24x128 bytes=3145728
tensor id=177 dtype=bf16 roles=0 shape=512x3072 bytes=3145728
tensor id=178 dtype=bf16 roles=0 shape=512x3072 bytes=3145728
tensor id=179 dtype=bf16 roles=0 shape=512x3072 bytes=3145728
tensor id=180 dtype=bf16 roles=0 shape=512x16384 bytes=16777216
tensor id=181 dtype=bf16 roles=0 shape=512x8192 bytes=8388608
tensor id=182 dtype=bf16 roles=0 shape=512x3072 bytes=3145728
tensor id=183 dtype=bf16 roles=0 shape=512x3072 bytes=3145728
tensor id=184 dtype=bf16 roles=12 shape=512x3072 bytes=3145728
tensor id=185 dtype=bf16 roles=12 shape=512x3072 bytes=3145728
tensor id=186 dtype=bf16 roles=12 shape=512x3072 bytes=3145728
tensor id=187 dtype=bf16 roles=12 shape=3072x3072 bytes=18874368
tensor id=188 dtype=bf16 roles=12 shape=3072x3072 bytes=18874368
tensor id=189 dtype=bf16 roles=12 shape=3072x3072 bytes=18874368
tensor id=190 dtype=bf16 roles=12 shape=128 bytes=256
tensor id=191 dtype=bf16 roles=12 shape=128 bytes=256
tensor id=192 dtype=bf16 roles=12 shape=3072x3072 bytes=18874368
tensor id=193 dtype=bf16 roles=12 shape=512x3072 bytes=3145728
tensor id=194 dtype=bf16 roles=12 shape=512x3072 bytes=3145728
tensor id=195 dtype=bf16 roles=12 shape=512x3072 bytes=3145728
tensor id=196 dtype=bf16 roles=12 shape=16384x3072 bytes=100663296
tensor id=197 dtype=bf16 roles=12 shape=3072x8192 bytes=50331648
tensor id=198 dtype=bf16 roles=12 shape=3072 bytes=6144
tensor id=199 dtype=bf16 roles=12 shape=3072 bytes=6144
tensor id=200 dtype=bf16 roles=0 shape=512x3072 bytes=3145728
tensor id=201 dtype=bf16 roles=0 shape=512x24x128 bytes=3145728
tensor id=202 dtype=bf16 roles=0 shape=512x24x128 bytes=3145728
tensor id=203 dtype=bf16 roles=0 shape=512x24x128 bytes=3145728
tensor id=204 dtype=bf16 roles=0 shape=512x24x128 bytes=3145728
tensor id=205 dtype=bf16 roles=0 shape=512x24x128 bytes=3145728
tensor id=206 dtype=bf16 roles=0 shape=512x24x128 bytes=3145728
tensor id=207 dtype=bf16 roles=0 shape=512x3072 bytes=3145728
tensor id=208 dtype=bf16 roles=0 shape=512x3072 bytes=3145728
tensor id=209 dtype=bf16 roles=0 shape=512x3072 bytes=3145728
